 Sync No,   Event No,      N_Sync_Interval,  Event Mismatch
                       NIM-TDC,   Kalliope,                
                            16,  1,  2,  3,                
       1           1         1,  1,  1,  1,                
       2           2         1,  1,  1,  1,                
       3           5         3,  3,  3,  3,                
       4           9         4,  4,  4,  4,                
       5          11         2,  2,  2,  2,                
       6          14         3,  3,  3,  3,                
       7          16         2,  2,  2,  2,                
       8          18         2,  2,  2,  2,                
       9          21         3,  3,  3,  3,                
      10          24         3,  3,  3,  3,                
      11          27         3,  3,  3,  3,                
      12          33         6,  6,  6,  6,                
      13          36         3,  3,  3,  3,                
      14          41         5,  5,  5,  5,                
      15          44         3,  3,  3,  3,                
      16          48         4,  4,  4,  4,                
      17          52         4,  4,  4,  4,                
      18          55         3,  3,  3,  3,                
      19          58         3,  3,  3,  3,                
      20          63         5,  5,  5,  5,                
      21          65         2,  2,  2,  2,                
      22          67         2,  2,  2,  2,                
      23          69         2,  2,  2,  2,                
      24          71         2,  2,  2,  2,                
      25          73         2,  2,  2,  2,                
      26          76         3,  3,  3,  3,                
      27          78         2,  2,  2,  2,                
      28          80         2,  2,  2,  2,                
      29          82         2,  2,  2,  2,                
      30          84         2,  2,  2,  2,                
      31          87         3,  3,  3,  3,                
      32          90         3,  3,  3,  3,                
      33          95         5,  5,  5,  5,                
      34          98         3,  3,  3,  3,                
      35         103         5,  5,  5,  5,                
      36         105         2,  2,  2,  2,                
      37         107         2,  2,  2,  2,                
      38         109         2,  2,  2,  2,                
      39         112         3,  3,  3,  3,                
      40         116         4,  4,  4,  4,                
      41         118         2,  2,  2,  2,                
      42         122         4,  4,  4,  4,                
      43         125         3,  3,  3,  3,                
      44         129         4,  4,  4,  4,                
      45         131         2,  2,  2,  2,                
      46         133         2,  2,  2,  2,                
      47         135         2,  2,  2,  2,                
      48         137         2,  2,  2,  2,                
      49         140         3,  3,  3,  3,                
      50         142         2,  2,  2,  2,                
      51         145         3,  3,  3,  3,                
      52         148         3,  3,  3,  3,                
      53         151         3,  3,  3,  3,                
      54         153         2,  2,  2,  2,                
      55         155         2,  2,  2,  2,                
      56         157         2,  2,  2,  2,                
      57         160         3,  3,  3,  3,                
      58         163         3,  3,  3,  3,                
      59         167         4,  4,  4,  4,                
      60         171         4,  4,  4,  4,                
      61         174         3,  3,  3,  3,                
      62         176         2,  2,  2,  2,                
      63         178         2,  2,  2,  2,                
      64         180         2,  2,  2,  2,                
      65         184         4,  4,  4,  4,                
      66         188         4,  4,  4,  4,                
      67         190         2,  2,  2,  2,                
      68         194         4,  4,  4,  4,                
      69         196         2,  2,  2,  2,                
      70         199         3,  3,  3,  3,                
      71         201         2,  2,  2,  2,                
      72         204         3,  3,  3,  3,                
      73         207         3,  3,  3,  3,                
      74         211         4,  4,  4,  4,                
      75         213         2,  2,  2,  2,                
      76         215         2,  2,  2,  2,                
      77         217         2,  2,  2,  2,                
      78         220         3,  3,  3,  3,                
      79         222         2,  2,  2,  2,                
      80         224         2,  2,  2,  2,                
      81         227         3,  3,  3,  3,                
      82         229         2,  2,  2,  2,                
      83         231         2,  2,  2,  2,                
      84         233         2,  2,  2,  2,                
      85         237         4,  4,  4,  4,                
      86         240         3,  3,  3,  3,                
      87         243         3,  3,  3,  3,                
      88         246         3,  3,  3,  3,                
      89         249         3,  3,  3,  3,                
      90         252         3,  3,  3,  3,                
      91         255         3,  3,  3,  3,                
      92         257         2,  2,  2,  2,                
      93         259         2,  2,  2,  2,                
      94         262         3,  3,  3,  3,                
      95         270         8,  8,  8,  8,                
      96         274         4,  4,  4,  4,                
      97         276         2,  2,  2,  2,                
      98         279         3,  3,  3,  3,                
      99         286         7,  7,  7,  7,                
     100         289         3,  3,  3,  3,                
     101         292         3,  3,  3,  3,                
