 Sync No,   Event No,  N_Sync_Interval,  Event Mismatch
                       NIM-TDC, Kalliope,                
                            16,  1,  2,                
       1           1         1,  1,  1,                
       2          46        45, 45, 45,                
       3         118        72, 72, 72,                
       4         144        26, 26, 26,                
       5         228        84, 84, 84,                
       6         271        43, 43, 43,                
       7         285        14, 14, 14,                
       8         289         4,  4,  4,                
       9         382        93, 93, 93,                
      10         501       119, 119, 119,                
      11         510         9,  9,  9,                
      12         514         4,  4,  4,                
      13         635       121, 121, 121,                
      14         648        13, 13, 13,                
      15         709        61, 61, 61,                
      16         772        63, 63, 63,                
      17        1018       246, 246, 246,                
      18        1039        21, 21, 21,                
      19        1064        25, 25, 25,                
      20        1111        47, 47, 47,                
      21        1165        54, 54, 54,                
      22        1183        18, 18, 18,                
      23        1192         9,  9,  9,                
      24        1209        17, 17, 17,                
      25        1211         2,  2,  2,                
      26        1248        37, 37, 37,                
      27        1347        99, 99, 99,                
      28        1633       286, 286, 286,                
      29        1658        25, 25, 25,                
      30        1676        18, 18, 18,                
      31        1694        18, 18, 18,                
      32        1715        21, 21, 21,                
      33        1728        13, 13, 13,                
      34        1740        12, 12, 12,                
      35        1746         6,  6,  6,                
      36        1788        42, 42, 42,                
      37        1810        22, 22, 22,                
      38        1813         3,  3,  3,                
      39        1862        49, 49, 49,                
      40        1925        63, 63, 63,                
      41        1958        33, 33, 33,                
      42        2023        65, 65, 65,                
      43        2175       152, 152, 152,                
      44        2194        19, 19, 19,                
      45        2210        16, 16, 16,                
      46        2217         7,  7,  7,                
      47        2219         2,  2,  2,                
      48        2220         1,  1,  1,                
      49        2227         7,  7,  7,                
      50        2317        90, 90, 90,                
      51        2335        18, 18, 18,                
      52        2417        82, 82, 82,                
      53        2535       118, 118, 118,                
      54        2641       106, 106, 106,                
      55        2673        32, 32, 32,                
      56        2770        97, 97, 97,                
      58        2906       135, 136, 136,  Event Mismatch
      59        2912         6,  6,  6,                
      60        2975        63, 63, 63,                
      61        3039        64, 64, 64,                
      62        3061        22, 22, 22,                
      63        3262       201, 201, 201,                
      64        3276        14, 14, 14,                
      65        3278         2,  2,  2,                
      66        3283         5,  5,  5,                
      67        3297        14, 14, 14,                
      68        3327        30, 30, 30,                
      69        3329         2,  2,  2,                
      70        3583       254, 254, 254,                
      71        3651        68, 68, 68,                
      72        3828       177, 177, 177,                
      73        3865        37, 37, 37,                
      74        3910        45, 45, 45,                
      75        3958        48, 48, 48,                
      76        3964         6,  6,  6,                
      77        4036        72, 72, 72,                
      78        4062        26, 26, 26,                
      79        4078        16, 16, 16,                
      80        4122        44, 44, 44,                
      81        4161        39, 39, 39,                
      82        4222        61, 61, 61,                
      83        4267        45, 45, 45,                
      84        4286        19, 19, 19,                
      85        4308        22, 22, 22,                
      86        4325        17, 17, 17,                
      87        4350        25, 25, 25,                
      88        4411        61, 61, 61,                
      89        4523       112, 112, 112,                
      90        4526         3,  3,  3,                
      91        4554        28, 28, 28,                
      92        4564        10, 10, 10,                
      93        4607        43, 43, 43,                
      94        4760       153, 153, 153,                
      95        4774        14, 14, 14,                
      96        4800        26, 26, 26,                
      97        4801         1,  1,  1,                
      98        4805         4,  4,  4,                
      99        4836        31, 31, 31,                
     100        4854        18, 18, 18,                
     101        4859         5,  5,  5,                
     102        5026       167, 167, 167,                
     103        5082        56, 56, 56,                
     104        5091         9,  9,  9,                
     105        5220       129, 129, 129,                
     106        5279        59, 59, 59,                
     107        5351        72, 72, 72,                
     108        5382        31, 31, 31,                
     109        5445        63, 63, 63,                
     110        5453         8,  8,  8,                
     111        5480        27, 27, 27,                
     112        5525        45, 45, 45,                
     113        5731       206, 206, 206,                
     114        5847       116, 116, 116,                
     115        5865        18, 18, 18,                
     116        5897        32, 32, 32,                
     117        5908        11, 11, 11,                
     118        5914         6,  6,  6,                
     119        5916         2,  2,  2,                
     120        6041       125, 125, 125,                
     121        6049         8,  8,  8,                
     122        6090        41, 41, 41,                
     123        6156        66, 66, 66,                
     124        6188        32, 32, 32,                
     125        6203        15, 15, 15,                
     126        6225        22, 22, 22,                
     127        6298        73, 73, 73,                
     128        6397        99, 99, 99,                
     129        6431        34, 34, 34,                
     130        6478        47, 47, 47,                
     131        6488        10, 10, 10,                
     132        6503        15, 15, 15,                
     133        6529        26, 26, 26,                
     134        6542        13, 13, 13,                
     135        6633        91, 91, 91,                
     136        6691        58, 58, 58,                
     137        6738        47, 47, 47,                
     138        6786        48, 48, 48,                
     139        6854        68, 68, 68,                
     140        6869        15, 15, 15,                
     141        6896        27, 27, 27,                
     142        6946        50, 50, 50,                
     143        6989        43, 43, 43,                
     144        7008        19, 19, 19,                
     145        7010         2,  2,  2,                
     146        7042        32, 32, 32,                
     147        7322       280, 280, 280,                
     148        7330         8,  8,  8,                
     149        7539       209, 209, 209,                
     150        7651       112, 112, 112,                
     151        7717        66, 66, 66,                
     152        7883       166, 166, 166,                
     153        7916        33, 33, 33,                
     154        7971        55, 55, 55,                
     155        8110       139, 139, 139,                
     156        8172        62, 62, 62,                
     157        8190        18, 18, 18,                
     158        8248        58, 58, 58,                
     159        8267        19, 19, 19,                
     160        8291        24, 24, 24,                
     161        8294         3,  3,  3,                
     162        8465       171, 171, 171,                
     163        8471         6,  6,  6,                
     164        8657       186, 186, 186,                
     165        8697        40, 40, 40,                
     166        8734        37, 37, 37,                
     167        8766        32, 32, 32,                
     168        8973       207, 207, 207,                
     169        9044        71, 71, 71,                
     170        9112        68, 68, 68,                
     171        9205        93, 93, 93,                
     172        9232        27, 27, 27,                
     173        9288        56, 56, 56,                
     174        9396       108, 108, 108,                
     175        9437        41, 41, 41,                
     176        9443         6,  6,  6,                
     177        9623       180, 180, 180,                
     178        9705        82, 82, 82,                
     179        9715        10, 10, 10,                
     180        9859       144, 144, 144,                
     181        9943        84, 84, 84,                
     182       10055       112, 112, 112,                
     183       10077        22, 22, 22,                
     184       10098        21, 21, 21,                
     185       10122        24, 24, 24,                
     186       10254       132, 132, 132,                
     187       10435       181, 181, 181,                
     188       10634       199, 199, 199,                
     189       10755       121, 121, 121,                
     190       10829        74, 74, 74,                
     191       10854        25, 25, 25,                
     192       10858         4,  4,  4,                
     193       10941        83, 83, 83,                
     194       11054       113, 113, 113,                
     195       11080        26, 26, 26,                
     196       11134        54, 54, 54,                
     197       11141         7,  7,  7,                
     198       11187        46, 46, 46,                
     199       11207        20, 20, 20,                
     200       11251        44, 44, 44,                
     201       11390       139, 139, 139,                
     202       11419        29, 29, 29,                
     203       11427         8,  8,  8,                
     204       11514        87, 87, 87,                
     205       11585        71, 71, 71,                
     206       11595        10, 10, 10,                
     207       11686        91, 91, 91,                
     208       11727        41, 41, 41,                
     209       11849       122, 122, 122,                
     210       12112       263, 263, 263,                
     211       12155        43, 43, 43,                
     212       12177        22, 22, 22,                
     213       12212        35, 35, 35,                
     214       12243        31, 31, 31,                
     215       12302        59, 59, 59,                
     216       12320        18, 18, 18,                
     217       12327         7,  7,  7,                
     218       12371        44, 44, 44,                
     219       12502       131, 131, 131,                
     220       12609       107, 107, 107,                
     221       12647        38, 38, 38,                
     222       12671        24, 24, 24,                
     223       12761        90, 90, 90,                
     224       12781        20, 20, 20,                
     225       12793        12, 12, 12,                
     226       12948       155, 155, 155,                
     227       12951         3,  3,  3,                
     228       12965        14, 14, 14,                
     229       12973         8,  8,  8,                
     230       13063        90, 90, 90,                
     231       13087        24, 24, 24,                
     232       13110        23, 23, 23,                
     233       13134        24, 24, 24,                
     234       13136         2,  2,  2,                
     235       13226        90, 90, 90,                
     236       13299        73, 73, 73,                
     237       13425       126, 126, 126,                
     238       13500        75, 75, 75,                
     239       13578        78, 78, 78,                
     240       13679       101, 101, 101,                
     241       13743        64, 64, 64,                
     242       13773        30, 30, 30,                
     243       13851        78, 78, 78,                
     244       13901        50, 50, 50,                
     245       14024       123, 123, 123,                
     246       14051        27, 27, 27,                
     247       14287       236, 236, 236,                
     248       14332        45, 45, 45,                
     249       14361        29, 29, 29,                
     250       14435        74, 74, 74,                
     251       14642       207, 207, 207,                
     253       14663        20, 21, 21,  Event Mismatch
     254       14762        99, 99, 99,                
     255       14771         9,  9,  9,                
     256       14863        92, 92, 92,                
     257       14930        67, 67, 67,                
     258       14970        40, 40, 40,                
     259       15025        55, 55, 55,                
     260       15083        58, 58, 58,                
     261       15179        96, 96, 96,                
     262       15218        39, 39, 39,                
     263       15222         4,  4,  4,                
     264       15224         2,  2,  2,                
     265       15292        68, 68, 68,                
     266       15371        79, 79, 79,                
     267       15428        57, 57, 57,                
     268       15473        45, 45, 45,                
     269       15478         5,  5,  5,                
     270       15585       107, 107, 107,                
     271       15651        66, 66, 66,                
     272       15664        13, 13, 13,                
     273       15677        13, 13, 13,                
     274       15694        17, 17, 17,                
     275       15704        10, 10, 10,                
     276       15932       228, 228, 228,                
     277       16065       133, 133, 133,                
     278       16160        95, 95, 95,                
     279       16165         5,  5,  5,                
     280       16223        58, 58, 58,                
     281       16234        11, 11, 11,                
     282       16436       202, 202, 202,                
     283       16546       110, 110, 110,                
